Prev_LAT,Prev_LON,Prev_WIND,Prev_PRES
17.8001,70.4826,25.0,1002.0
17.9,70.2,25.0,1002.0
17.9999,69.9775,25.0,1002.0
18.1,69.8,25.0,1002.0
18.214,69.908,25.0,1002.0
18.3667,69.8333,25.0,1002.0
18.48,69.6657,27.0,1001.0
18.55,69.15,30.0,1000.0
18.8225,68.7825,32.0,998.0
18.8,68.4,35.0,997.0
18.7362,68.2925,32.0,998.0
18.65,67.95,30.0,1000.0
18.5712,67.8675,30.0,1000.0
18.5,67.8,30.0,1000.0
18.3457,67.7814,27.0,1001.0
18.2,67.7667,25.0,1002.0
18.118,67.74,22.0,1003.0
18.1,67.7,20.0,1004.0
18.3724,67.6225,22.0,1003.0
18.6,67.5,25.0,1002.0
18.63,67.2799,25.0,1002.0
18.6,67.0,25.0,1002.0
18.6501,66.6851,25.0,1002.0
18.7,66.4,25.0,1002.0
18.6999,66.205,20.0,1004.0
18.7,66.1,15.0,1006.0
18.7425,66.07,17.0,1005.0
18.8,66.1,20.0,1004.0
18.85,66.1425,20.0,1004.0
18.9,66.2,20.0,1004.0
18.935,66.2575,20.0,1004.0
19.0,66.3,20.0,1004.0
19.135,66.315,20.0,1004.0
19.3,66.3,20.0,1004.0
19.4575,66.28,20.0,1004.0
19.6,66.2,20.0,1004.0
19.7074,66.0524,20.0,1004.0
19.8,65.8,20.0,1004.0
19.8978,65.4326,20.0,1004.0
12.0,83.6,25.0,1002.0
12.5126,83.2704,25.0,1002.0
12.9,83.0,25.0,1002.0
13.0874,82.8273,25.0,1002.0
13.2,82.7,25.0,1002.0
13.4075,82.5425,25.0,1002.0
13.6,82.4,25.0,1002.0
13.7075,82.285,25.0,1002.0
13.8,82.2,25.0,1002.0
13.9425,82.135,25.0,1002.0
14.1,82.1,25.0,1002.0
14.2425,82.085,27.0,1001.0
14.4,82.1,30.0,1000.0
14.6,82.1125,30.0,1000.0
14.8,82.2,30.0,1000.0
14.9575,82.405,30.0,1000.0
15.1,82.7,30.0,1000.0
15.2575,83.0275,30.0,1000.0
15.4,83.4,30.0,1000.0
15.4925,83.8001,30.0,1000.0
15.6,84.2,30.0,1000.0
15.7699,84.5651,30.0,1000.0
16.0,84.9,30.0,1000.0
16.2775,85.2374,30.0,1000.0
16.6,85.5,30.0,1000.0
16.945,85.6376,25.0,1002.0
1.4,106.2,25.0,1005.0
1.46001,105.95,30.0,1001.0
1.5,105.7,35.0,997.0
1.50749,105.444,50.0,986.0
1.5,105.156,65.0,976.0
1.49451,104.778,65.0,976.0
1.5,104.4,65.0,976.0
1.52832,104.1,55.0,983.0
1.56667,103.8,45.0,991.0
1.6,103.429,42.0,992.0
1.63636,103.036,40.0,994.0
1.67649,102.686,35.0,997.0
1.725,102.3,30.0,1000.0
1.79669,101.85,30.0,1000.0
1.84,101.38,30.0,1000.0
1.84998,101.05,27.0,1001.0
1.9,100.7,25.0,1002.0
1.93497,100.337,25.0,1002.0
2.0,99.9,25.0,1002.0
2.13504,99.3,22.0,1003.0
2.3,98.7,20.0,1004.0
2.45746,98.27,20.0,1004.0
2.6,97.9,20.0,1004.0
2.68493,97.5449,22.0,1003.0
2.8,97.1,25.0,1002.0
3.02753,96.445,25.0,1002.0
3.3,95.7,25.0,1002.0
3.56501,94.97,25.0,1002.0
3.8,94.3,25.0,1002.0
3.96493,93.755,25.0,1002.0
4.1,93.3,25.0,1002.0
4.25746,92.8775,25.0,1002.0
4.4,92.5,25.0,1002.0
4.52248,92.135,30.0,1001.0
4.6,91.8,35.0,1000.0
4.62249,91.4775,35.0,998.0
4.6,91.2,35.0,997.0
4.57248,90.9775,35.0,997.0
4.5,90.8,35.0,997.0
4.3725,90.635,35.0,997.0
4.2,90.5,35.0,997.0
4.00749,90.4,32.0,998.0
3.8,90.3,30.0,1000.0
3.59998,90.1875,27.0,1001.0
3.4,90.0,25.0,1002.0
3.20004,89.6875,25.0,1002.0
8.6,67.7,25.0,1002.0
8.62498,67.475,25.0,1002.0
8.7,67.2,25.0,1002.0
9.30004,66.88,27.0,1002.0
9.96667,66.5,30.0,1002.0
10.6136,66.2109,30.0,1001.0
11.15,66.0,30.0,1000.0
11.4424,65.8147,30.0,1000.0
11.75,65.6,30.0,1000.0
12.1997,65.2944,35.0,997.0
12.65,64.9,40.0,994.0
13.005,64.4424,40.0,995.0
13.05,64.0,40.0,997.0
13.0613,63.5504,40.0,995.0
13.05,63.15,40.0,994.0
13.0387,62.8375,37.0,995.0
13.05,62.6,35.0,997.0
13.1136,62.4704,35.0,997.0
13.2,62.25,35.0,997.0
13.2788,61.775,35.0,997.0
13.35,61.3,35.0,997.0
13.3791,60.9706,35.0,997.0
13.45,60.7,35.0,997.0
13.6759,60.4081,35.0,997.0
13.9,60.05,35.0,997.0
14.0,59.5825,37.0,995.0
14.1,59.35,40.0,994.0
14.1999,58.8612,42.0,992.0
14.55,58.1,45.0,991.0
14.6537,57.5575,45.0,991.0
15.0,56.75,45.0,991.0
15.075,56.1887,45.0,991.0
15.4,55.65,45.0,991.0
15.4999,54.9025,45.0,991.0
15.8286,54.4429,45.0,991.0
15.8949,54.0466,42.0,992.0
16.1,53.84,40.0,994.0
16.205,53.52,37.0,995.0
16.5,53.3,35.0,997.0
16.915,53.1725,32.0,998.0
8.4,95.5,25.0,1002.0
8.65005,95.2601,27.0,1001.0
8.9,95.1,30.0,1000.0
9.14998,95.0699,30.0,1000.0
9.4,95.1,30.0,1000.0
9.6425,95.085,30.0,1000.0
9.9,95.1,30.0,1000.0
10.2,95.185,30.0,1000.0
10.5,95.3,30.0,1000.0
10.7575,95.415,32.0,998.0
11.0,95.5,35.0,997.0
11.2425,95.5225,35.0,997.0
11.5,95.5,35.0,997.0
11.7775,95.45,35.0,997.0
12.1,95.4,35.0,997.0
12.37,95.508,40.0,994.0
12.9333,95.7667,45.0,991.0
13.5936,95.9314,45.0,991.0
14.25,96.0,45.0,991.0
14.8475,96.0638,45.0,991.0
15.4,96.15,45.0,991.0
15.8179,96.1666,40.0,994.0
16.5333,96.3,35.0,997.0
17.5759,96.4962,30.0,999.0
18.3,96.6,25.0,1002.0
18.8103,96.9596,20.0,1004.0
11.7,82.5,25.0,1002.0
11.805,82.5025,25.0,1002.0
