USA_WIND
75.0
77.0
80.0
80.0
85.0
75.0
80.0
70.0
75.0
70.0
65.0
65.0
65.0
65.0
65.0
65.0
65.0
70.0
75.0
72.0
70.0
65.0
60.0
57.0
55.0
55.0
55.0
57.0
60.0
60.0
60.0
60.0
60.0
62.0
65.0
67.0
70.0
72.0
75.0
77.0
80.0
87.0
95.0
97.0
100.0
100.0
100.0
97.0
95.0
92.0
90.0
90.0
90.0
90.0
90.0
87.0
85.0
85.0
85.0
85.0
85.0
85.0
85.0
82.0
80.0
82.0
85.0
87.0
90.0
90.0
90.0
90.0
90.0
90.0
90.0
92.0
95.0
95.0
95.0
95.0
95.0
105.0
90.0
27.0
30.0
32.0
35.0
40.0
45.0
52.0
60.0
62.0
65.0
67.0
70.0
72.0
75.0
77.0
80.0
82.0
85.0
90.0
95.0
97.0
100.0
105.0
110.0
110.0
110.0
105.0
100.0
95.0
90.0
90.0
90.0
85.0
80.0
77.0
75.0
70.0
65.0
62.0
60.0
57.0
55.0
52.0
50.0
50.0
50.0
47.0
45.0
45.0
45.0
42.0
40.0
40.0
40.0
35.0
30.0
30.0
30.0
27.0
25.0
25.0
25.0
22.0
20.0
37.0
55.0
25.0
25.0
25.0
25.0
25.0
25.0
27.0
30.0
30.0
30.0
27.0
25.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
32.0
30.0
30.0
30.0
30.0
30.0
25.0
20.0
20.0
20.0
20.0
20.0
25.0
25.0
25.0
25.0
25.0
25.0
27.0
30.0
32.0
35.0
32.0
30.0
30.0
30.0
27.0
25.0
22.0
20.0
22.0
25.0
25.0
25.0
25.0
25.0
20.0
15.0
17.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
20.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
27.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
25.0
20.0
30.0
35.0
50.0
65.0
65.0
65.0
55.0
45.0
42.0
40.0
35.0
30.0
30.0
30.0
27.0
25.0
25.0
25.0
22.0
20.0
20.0
20.0
22.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
30.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
32.0
30.0
27.0
25.0
25.0
25.0
25.0
25.0
27.0
30.0
30.0
30.0
30.0
30.0
35.0
40.0
40.0
40.0
40.0
40.0
37.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
37.0
40.0
42.0
45.0
45.0
45.0
45.0
45.0
45.0
45.0
42.0
40.0
37.0
35.0
32.0
30.0
27.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
32.0
35.0
35.0
35.0
35.0
35.0
40.0
45.0
45.0
45.0
45.0
45.0
40.0
35.0
30.0
25.0
20.0
15.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
27.0
30.0
30.0
30.0
32.0
35.0
35.0
35.0
35.0
35.0
45.0
55.0
42.0
30.0
25.0
25.0
25.0
25.0
30.0
35.0
40.0
45.0
45.0
45.0
42.0
40.0
37.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
35.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
25.0
27.0
30.0
30.0
30.0
30.0
30.0
30.0
30.0
32.0
35.0
35.0
35.0
35.0
35.0
35.0
